car_reg,purchase_date,county,make,model,type,colour,tax_band,price
192-D-2883,2019-Sep-13,,audi,A4,Estate,#FF0000,B,46005
XXX-X-281,2019-07-03,Limerick,Toyota : Corolla (Hatchback),,,blue,b,28446
201-C-1523,2020-Apr-26,Cork,bmw,3 series : saloon,,<colour>White</colour>,B,44182
192-g-1657,05 Aug,GALWAY,Audi : Q3,,SUV,WHITE,2,54699
181-D-2832,2018-Mar-27,,Mazda,Mazda6,Estate,White,B,37203
201-C-1983,2020-Jan-08,Cork,opel,crossland x : suv,,<colour>White</colour>,A,27945
XXX-X-2192,2020-02-08,Dublin,Opel : Crossland X (SUV),,,blue,a,23661
181-D-1361,2018-Feb-03,,Ford,Focus,Estate,Silver,A,26033
182-g-333,15 Jul,GALWAY,Audi : A4,,Saloon,RED,2,51183
181-G-94,2018-Apr-17,,bmw,5 SERIES,Estate,#FFFFFF,C,70643
191-L-3563,2019-Jan-07,,Ford,Mondeo,Saloon,White,B,37044
202-D-3117,2020-Oct-22,,Ford,Fiesta,Hatchback,White,A,24549
XXX-X-1426,2018-02-08,Dublin,Mazda : Mazda3 (Hatchback),,,silver,b,33797
201-D-1060,2020-Mar-08,Dublin,bmw,2 series : coupe,,<colour>Red</colour>,B,82668
192-W-2334,2019-Jul-20,,Opel,Astra,Estate,Blue,B,25189
191-c-1874,06 Jan,CORK,Ford : Focus,,Hatchback,BLUE,1,33099
191-L-2146,2019-Feb-04,,Opel,Astra,Estate,White,B,28018
201-L-2335,2020-Feb-14,,opel,GRANDLAND X,SUV,#0000FF,B,29018
XXX-X-4928,2018-02-13,Dublin,Audi : Q3 (SUV),,,red,b,48412
XXX-X-2016,2018-05-20,Galway,Audi : Q3 (SUV),,,red,b,44353
XXX-X-2971,2019-01-17,Dublin,BMW : 3 Series (Estate),,,silver,b,57692
181-D-3860,2018-Jan-19,,Mazda,Mazda3,Saloon,White,B,37853
191-c-3137,21 Jan,CORK,Opel : Corsa,,Hatchback,RED,1,17996
191-C-1748,2019-Jan-22,Cork,mazda,cx-5 : suv,,<colour>White</colour>,B,41272
XXX-X-2167,2018-01-18,Dublin,Toyota : Camery (Saloon),,,white,b,40872
182-G-416,2018-Jul-20,,Opel,Corsa,Hatchback,Silver,A,17054
181-D-4618,2018-Mar-20,Dublin,toyota,yaris : hatchback,,<colour>Silver</colour>,A,19862
192-G-4694,2019-Nov-08,,Opel,Crossland X,SUV,White,A,24321
XXX-X-4599,2019-08-09,Limerick,Mazda : Mazda6 (Saloon),,,silver,b,45937
XXX-X-705,2020-01-24,Limerick,Mazda : Mazda3 (Hatchback),,,red,b,36422
191-C-2812,2019-Jan-14,,Opel,Crossland X,SUV,White,A,24345
181-C-2243,2018-Mar-26,Cork,ford,mondeo : hatchback,,<colour>Blue</colour>,B,39767
XXX-X-2187,2019-01-01,Dublin,Toyota : Corolla (Hatchback),,,white,b,31601
191-d-1873,21 Jan,DUBLIN,Opel : Crossland X,,SUV,SILVER,1,23627
XXX-X-2714,2020-07-05,Waterford,Toyota : Prius (Hatchback),,,white,b,34208
182-G-2770,2018-Jul-06,,Ford,Mustang,Coupe,Blue,C,63651
192-D-2362,2019-Jul-21,,toyota,RAV4,SUV,#0000FF,B,43203
201-l-2663,11 May,LIMERICK,Ford : Kuga,,SUV,BLUE,2,46201
182-c-324,10 Nov,CORK,Audi : Q3,,SUV,WHITE,2,43239
181-C-1014,2018-Mar-21,,Toyota,Camery,Saloon,White,B,41331
XXX-X-2166,2020-02-05,Galway,Audi : Q3 (SUV),,,red,b,51385
202-L-4524,2020-Sep-27,Limerick,bmw,2 series : coupe,,<colour>Red</colour>,B,49195
XXX-X-774,2018-05-03,Dublin,Audi : A4 (Saloon),,,blue,b,46195
202-L-222,2020-Jul-08,,ford,KUGA,SUV,#FF0000,B,49836
181-l-3246,17 Feb,LIMERICK,Ford : Focus,,Estate,WHITE,1,42317
202-D-2443,2020-Jul-15,,BMW,3 Series,Saloon,Silver,B,44894
191-D-1478,2019-Jan-14,,Opel,Insignia,Hatchback,Blue,B,30682
182-d-2413,19 Nov,DUBLIN,Ford : Mustang,,Coupe,RED,3,58044
201-g-3519,18 Feb,GALWAY,Ford : Focus,,Estate,RED,1,28555
191-D-306,2019-Jan-25,,Audi,A4,Estate,Red,B,45821
XXX-X-4608,2019-01-03,Dublin,Audi : A6 (Saloon),,,white,c,82470
201-d-1864,16 Jan,DUBLIN,BMW : 7 Series,,Saloon,RED,4,180198
191-D-4027,2019-Mar-16,,Ford,Focus,Estate,Blue,A,38094
XXX-X-3869,2018-01-18,Galway,Audi : Q3 (SUV),,,white,b,41948
201-L-936,2020-Jan-02,Limerick,audi,q3 : suv,,<colour>Red</colour>,B,44797
201-G-1907,2020-Jan-14,,BMW,3 Series,Saloon,Silver,B,57843
181-L-1230,2018-Jan-20,,Audi,A6,Saloon,Silver,C,74009
181-d-3617,27 Mar,DUBLIN,BMW : X3,,SUV,WHITE,3,120913
XXX-X-4084,2020-01-10,Waterford,Ford : Mustang (Coupe),,,red,c,69953
XXX-X-3551,2020-03-14,Cork,Ford : Focus (Hatchback),,,silver,a,38061
181-d-2011,21 Jan,DUBLIN,BMW : 2 series,,Coupe,SILVER,2,66295
192-d-4403,10 Sep,DUBLIN,Ford : Mustang,,Coupe,BLUE,3,61241
XXX-X-3761,2018-03-17,Limerick,Ford : Mustang (Coupe),,,white,c,49152
191-l-3310,25 Apr,LIMERICK,Toyota : Rav4,,SUV,BLUE,2,37589
181-D-4910,2018-Mar-26,,opel,CORSA,Hatchback,#FF0000,A,19855
191-L-3381,2019-Jan-08,,Mazda,Mazda6,Estate,Red,B,38813
191-G-1974,2019-Jan-05,,Audi,A6,Saloon,Silver,C,59852
202-L-2319,2020-Jul-23,Limerick,mazda,mazda3 : hatchback,,<colour>Blue</colour>,B,36787
XXX-X-3513,2019-01-19,Galway,Mazda : Mazda6 (Estate),,,white,b,36703
181-C-2634,2018-Jan-17,,opel,CORSA,Hatchback,#FFFFFF,A,17752
201-D-933,2020-Feb-08,,Toyota,Corolla,Hatchback,Red,B,28003
192-C-557,2019-Jul-25,,Audi,Q3,SUV,Blue,B,43840
XXX-X-3626,2018-08-20,Cork,Audi : A6 (Estate),,,blue,c,69522
201-c-4500,09 Feb,CORK,BMW : X3,,SUV,RED,3,56568
181-W-2894,2018-Mar-08,,Opel,Corsa,Hatchback,Blue,A,23956
191-W-2217,2019-Jan-27,,Mazda,Mazda3,Hatchback,White,B,28871
201-c-2036,06 Jan,CORK,Opel : Grandland X,,SUV,BLUE,2,31096
XXX-X-2237,2019-07-26,Cork,BMW : 5 Series (Estate),,,white,c,76955
201-C-2942,2020-Apr-19,Cork,bmw,3 series : saloon,,<colour>Red</colour>,B,70336
201-C-2852,2020-May-11,,Ford,Mondeo,Saloon,White,B,38578
XXX-X-3572,2019-07-18,Waterford,Mazda : Mazda3 (Saloon),,,white,b,36878
XXX-X-2697,2020-01-15,Galway,Ford : Mondeo (Saloon),,,white,b,37970
201-C-811,2020-Jan-26,,Audi,A4,Estate,Red,B,42911
191-D-2464,2019-Jan-04,,Mercedes,GLC-Class,SUV,Red,C,91479
181-L-373,2018-Jan-27,,Mercedes,A-Class,Hatchback,White,B,57627
182-D-596,2018-Sep-18,,Ford,Focus,Estate,White,A,24465
181-C-3884,2018-Mar-13,,mercedes,GLC-CLASS,SUV,#C0C0C0,C,133105
XXX-X-4810,2019-01-20,Waterford,BMW : 2 series (Coupe),,,orange,b,109446
191-D-861,2019-Feb-25,Dublin,toyota,yaris : hatchback,,<colour>White</colour>,A,15245
202-d-747,19 Jul,DUBLIN,Ford : Mustang,,Coupe,WHITE,3,64015
201-D-2579,2020-Jan-21,Dublin,opel,grandland x : suv,,<colour>Red</colour>,B,42108
181-L-1443,2018-Feb-11,,opel,ASTRA,Hatchback,#FF0000,A,28724
XXX-X-538,2018-02-23,Dublin,Audi : A6 (Saloon),,,red,c,68176
XXX-X-2387,2020-01-18,Galway,Audi : A6 (Saloon),,,white,c,87053
181-G-356,2018-Jan-03,Galway,opel,corsa : hatchback,,<colour>Silver</colour>,A,23015
181-D-3605,2018-Jan-15,,Audi,A6,Saloon,White,C,75581
XXX-X-392,2018-05-05,Cork,Mazda : CX-5 (SUV),,,silver,b,42123
202-D-3649,2020-Jul-15,Dublin,mazda,cx-5 : suv,,<colour>Blue</colour>,B,36466
191-L-1839,2019-Feb-11,,Mazda,Mazda3,Saloon,White,B,31475
XXX-X-1649,2020-01-05,Dublin,Ford : Mondeo (Hatchback),,,orange,b,35159
182-C-4311,2018-Jul-15,,Toyota,Corolla,Saloon,Blue,B,30199
XXX-X-3609,2020-01-17,Waterford,Mazda : CX-5 (SUV),,,white,b,40649
201-C-2119,2020-Feb-08,Cork,bmw,3 series : estate,,<colour>Red</colour>,B,46634
191-D-785,2019-Feb-10,,Opel,Corsa,Hatchback,Orange,A,24075
192-d-1166,02 Jul,DUBLIN,Ford : Focus,,Hatchback,SILVER,1,38170
XXX-X-3354,2018-03-26,Cork,Ford : Focus (Hatchback),,,red,a,36410
XXX-X-3798,2018-02-26,Cork,Toyota : Corolla (Hatchback),,,red,b,27246
XXX-X-4202,2019-04-21,Limerick,BMW : 5 Series (Estate),,,silver,c,67623
191-D-265,2019-Jan-21,Dublin,mazda,cx-5 : suv,,<colour>White</colour>,B,44436
191-G-3685,2019-Jan-10,,toyota,RAV4,SUV,#FF0000,B,40319
191-D-4825,2019-Feb-02,,BMW,3 Series,Saloon,Silver,B,50503
191-c-159,15 Jan,CORK,Toyota : Rav4,,SUV,RED,2,44985
191-D-1051,2019-Apr-17,,Mercedes,C-Class,Estate,Orange,B,54990
191-L-609,2019-Feb-07,,Opel,Crossland X,SUV,White,A,25160
181-g-1327,22 Feb,GALWAY,Toyota : Corolla,,Saloon,SILVER,2,31547
XXX-X-3294,2018-04-16,Galway,Audi : A4 (Saloon),,,red,b,49864
XXX-X-2228,2018-03-01,Limerick,BMW : 5 Series (Estate),,,white,c,75023
XXX-X-2322,2020-07-10,Limerick,Ford : Kuga (SUV),,,white,b,47339
181-c-258,18 Jan,CORK,Mazda : Mazda6,,Estate,WHITE,2,37673
181-C-1561,2018-Mar-09,,Toyota,Corolla,Hatchback,White,B,33776
181-w-3739,11 Jan,WATERFORD,Mazda : CX-30,,SUV,SILVER,2,37158
181-G-3565,2018-Jan-27,Galway,bmw,5 series : estate,,<colour>Blue</colour>,C,68503
XXX-X-3624,2018-01-20,Dublin,Ford : Focus (Hatchback),,,blue,a,35025
182-W-3320,2018-Aug-18,,Ford,Focus,Estate,White,A,35605
XXX-X-1866,2018-07-01,Cork,BMW : X3 (SUV),,,white,c,124970
181-c-315,08 Jan,CORK,Audi : A6,,Estate,SILVER,3,69145
191-w-159,11 Jan,WATERFORD,Mazda : Mazda6,,Estate,WHITE,2,40161
201-D-2826,2020-Jun-18,,Mazda,CX-30,SUV,Red,B,42770
181-D-115,2018-Feb-03,,mazda,MAZDA3,Hatchback,#C0C0C0,B,32145
XXX-X-4496,2019-07-25,Dublin,Ford : Kuga (SUV),,,red,b,35330
182-G-115,2018-Jul-07,,mercedes,C-CLASS,Estate,#FFFFFF,B,46487
201-c-3254,18 Feb,CORK,Ford : Fiesta,,Hatchback,BLUE,1,20218
191-c-2366,17 Jan,CORK,Opel : Crossland X,,SUV,RED,1,26952
XXX-X-2292,2020-07-11,Dublin,Ford : Focus (Hatchback),,,white,a,23122
181-D-696,2018-Jan-27,,Toyota,Rav4,SUV,Red,B,37136
181-C-1865,2018-Mar-27,,mazda,CX-5,SUV,#FFA500,B,36484
XXX-X-782,2019-07-13,Dublin,Toyota : Yaris (Hatchback),,,white,a,17864
XXX-X-2236,2019-03-17,Cork,Opel : Corsa (Hatchback),,,white,a,18237
192-C-4156,2019-Jul-26,,Audi,A4,Estate,Blue,B,48660
182-W-3524,2018-Jul-23,,Audi,Q3,SUV,Red,B,45824
182-c-3830,06 Jul,CORK,BMW : 3 Series,,Hatchback,WHITE,3,60573
181-c-89,18 Mar,CORK,Opel : Astra,,Estate,BLUE,2,27257
192-c-4969,13 Jul,CORK,Audi : A4,,Estate,SILVER,2,44845
181-G-4159,2018-Jan-09,,Mazda,Mazda6,Estate,Red,B,42734
192-W-1445,2019-Aug-09,,bmw,2 SERIES,Coupe,#C0C0C0,B,121730
181-L-1241,2018-Apr-25,Limerick,ford,focus : hatchback,,<colour>Red</colour>,A,41674
181-L-4260,2018-Jun-12,Limerick,mazda,mazda3 : hatchback,,<colour>Blue</colour>,B,31533
192-L-4878,2019-Sep-25,,mazda,CX-5,SUV,#FF0000,B,45664
191-L-1786,2019-Jan-11,,Opel,Astra,Hatchback,White,A,29572
XXX-X-790,2018-01-12,Dublin,Opel : Insignia (Hatchback),,,red,b,36830
201-C-2024,2020-Jan-13,Cork,mercedes,c-class : saloon,,<colour>White</colour>,B,91660
192-C-2202,2019-Jul-18,,Opel,Astra,Hatchback,Red,A,28633
XXX-X-3219,2018-03-27,Dublin,Ford : Focus (Hatchback),,,red,a,41596
XXX-X-3010,2018-09-12,Dublin,Mazda : Mazda3 (Saloon),,,orange,b,37941
182-L-3568,2018-Aug-11,,toyota,COROLLA,Hatchback,#FF0000,B,32351
XXX-X-2017,2018-01-18,Dublin,Mazda : CX-30 (SUV),,,white,b,42838
192-G-3589,2019-Jul-05,,opel,INSIGNIA,Hatchback,#FF0000,B,37594
201-C-3905,2020-Mar-01,,toyota,YARIS,Hatchback,#FFFFFF,A,15233
201-d-2817,09 Jan,DUBLIN,Mazda : Mazda6,,Estate,WHITE,2,38144
201-G-3490,2020-Mar-03,Galway,bmw,3 series : hatchback,,<colour>White</colour>,C,56437
XXX-X-1569,2019-07-17,Galway,Opel : Astra (Hatchback),,,silver,a,25218
191-L-1257,2019-Jan-19,,Mazda,Mazda3,Saloon,Silver,B,30281
202-D-3251,2020-Jul-13,,audi,Q3,SUV,#0000FF,B,50009
192-D-4445,2019-Aug-19,,Opel,Crossland X,SUV,Blue,A,24278
XXX-X-3852,2018-01-02,Dublin,Ford : Focus (Hatchback),,,white,a,32522
191-G-1377,2019-Jan-23,Galway,bmw,5 series : estate,,<colour>Orange</colour>,C,82044
201-C-1703,2020-Feb-17,,BMW,2 series,Coupe,Blue,B,62687
XXX-X-3722,2020-03-22,Dublin,Ford : Mondeo (Hatchback),,,red,b,34903
202-C-1272,2020-Jul-08,,Mazda,Mazda3,Hatchback,White,B,32680
192-L-4969,2019-Jul-24,,Ford,Mondeo,Hatchback,Orange,B,33454
191-D-2196,2019-Feb-14,,Audi,A6,Saloon,Red,C,83930
201-l-4863,25 Jan,LIMERICK,Mazda : Mazda3,,Hatchback,RED,2,30058
XXX-X-3596,2020-07-18,Dublin,Audi : Q3 (SUV),,,red,b,48100
182-D-4646,2018-Jul-25,,Opel,Corsa,Hatchback,Silver,A,20335
201-D-597,2020-Jan-25,,mazda,MAZDA6,Estate,#C0C0C0,B,35639
XXX-X-305,2020-07-14,Dublin,Mercedes : C-Class (Saloon),,,blue,b,113668
181-d-4378,17 Feb,DUBLIN,Opel : Crossland X,,SUV,WHITE,1,26317
201-C-2250,2020-Jan-17,,Ford,Focus,Estate,Orange,A,33964
201-G-633,2020-Feb-09,Galway,opel,grandland x : suv,,<colour>Red</colour>,B,38659
201-L-3913,2020-Apr-02,,Mazda,Mazda3,Saloon,White,B,33442
191-c-2466,14 Feb,CORK,Opel : Astra,,Hatchback,WHITE,1,24266
191-d-3058,06 Mar,DUBLIN,BMW : 2 series,,Coupe,WHITE,2,55684
181-w-179,17 Jan,WATERFORD,Mercedes : GLC-Class,,SUV,RED,3,69206
XXX-X-1244,2019-02-21,Cork,Ford : Mustang (Coupe),,,white,c,65383
201-L-703,2020-Jan-12,,mercedes,A-CLASS,Hatchback,#0000FF,B,31525
XXX-X-4838,2018-07-17,Waterford,Toyota : Prius (Hatchback),,,white,b,36410
192-D-688,2019-Jul-08,,Audi,A4,Saloon,White,B,44271
191-c-2982,10 Apr,CORK,Mercedes : C-Class,,Saloon,BLUE,2,117660
XXX-X-697,2019-02-17,Limerick,Opel : Insignia (Hatchback),,,red,b,28649
201-C-291,2020-Jan-02,,Audi,A4,Estate,Blue,B,51536
181-D-1518,2018-Feb-26,,Ford,Kuga,SUV,Silver,B,47664
181-G-2114,2018-Jan-23,,Audi,A6,Saloon,Blue,C,52670
181-D-2606,2018-Jan-03,,Mercedes,GLC-Class,SUV,Red,C,81639
181-D-920,2018-Jan-03,,Toyota,Yaris,Hatchback,Blue,A,17298
192-G-3191,2019-Jul-04,,Toyota,Yaris,Hatchback,White,A,17131
182-D-4837,2018-Jul-25,,ford,MONDEO,Hatchback,#0000FF,B,32084
201-l-2340,05 Jan,LIMERICK,Toyota : Rav4,,SUV,WHITE,2,42622
181-D-4055,2018-May-04,,Mazda,CX-5,SUV,White,B,51335
181-C-3373,2018-Mar-21,Cork,toyota,yaris : hatchback,,<colour>Red</colour>,A,16904
181-D-198,2018-Feb-05,Dublin,bmw,2 series : coupe,,<colour>Blue</colour>,B,77366
181-G-2914,2018-Jan-15,,Ford,Fiesta,Hatchback,White,A,28423
201-G-2241,2020-Feb-21,,Toyota,Camery,Saloon,White,B,39886
191-D-1381,2019-Jan-05,Dublin,audi,a6 : saloon,,<colour>Red</colour>,C,65340
191-W-2248,2019-Jan-27,Waterford,bmw,3 series : estate,,<colour>White</colour>,B,57484
192-d-3024,12 Jul,DUBLIN,Opel : Corsa,,Hatchback,BLUE,1,20107
XXX-X-1564,2019-01-02,Dublin,Audi : A6 (Saloon),,,silver,c,76929
182-D-1568,2018-Jul-13,,Mazda,Mazda6,Estate,Blue,B,39517
202-C-4081,2020-Jul-18,,Ford,Kuga,SUV,White,B,38025
XXX-X-4842,2018-07-17,Dublin,Opel : Astra (Hatchback),,,white,a,30164
XXX-X-4685,2018-02-22,Limerick,Opel : Corsa (Hatchback),,,red,a,22238
201-G-4049,2020-Feb-15,,Audi,A4,Saloon,Red,B,45707
201-C-4483,2020-Feb-08,,opel,CORSA,Hatchback,#FFFFFF,A,23643
XXX-X-2318,2018-04-12,Dublin,Ford : Focus (Estate),,,silver,a,39399
191-C-2807,2019-Apr-15,Cork,ford,focus : hatchback,,<colour>Silver</colour>,A,41498
202-g-1583,24 Aug,GALWAY,Opel : Astra,,Hatchback,BLUE,1,26469
XXX-X-4956,2019-01-03,Dublin,Mercedes : A-Class (Hatchback),,,red,b,33571
XXX-X-2400,2019-01-02,Galway,BMW : 2 series (Coupe),,,white,b,82536
201-C-545,2020-Jun-26,Cork,ford,kuga : suv,,<colour>Red</colour>,B,35647
202-c-851,23 Nov,CORK,Toyota : Prius,,Hatchback,WHITE,2,34220
202-C-1744,2020-Jul-21,,Ford,Fiesta,Hatchback,Red,A,28997
201-d-4000,06 Feb,DUBLIN,Ford : Fiesta,,Hatchback,RED,1,19572
XXX-X-3456,2018-01-18,Dublin,Mazda : Mazda6 (Estate),,,silver,b,39727
201-d-3695,15 Mar,DUBLIN,Opel : Astra,,Hatchback,SILVER,1,26979
191-l-2805,05 Mar,LIMERICK,BMW : 3 Series,,Estate,RED,2,64557
191-l-3264,05 Mar,LIMERICK,Opel : Insignia,,Hatchback,RED,2,29743
191-L-645,2019-Feb-25,,bmw,3 SERIES,Saloon,#0000FF,B,55302
202-G-1827,2020-Oct-27,,opel,CORSA,Hatchback,#FFFFFF,A,21999
181-D-3597,2018-Jun-15,Dublin,ford,mondeo : hatchback,,<colour>Silver</colour>,B,35289
191-G-4756,2019-Jan-04,,Ford,Focus,Estate,Red,A,38340
182-D-918,2018-Jul-13,,audi,Q3,SUV,#FFFFFF,B,48741
181-G-1570,2018-Feb-16,Galway,opel,insignia : hatchback,,<colour>Silver</colour>,B,36880
181-C-1223,2018-Feb-10,,audi,A4,Estate,#FFFFFF,B,44973
XXX-X-700,2020-04-04,Dublin,Ford : Fiesta (Hatchback),,,silver,a,19536
191-D-1988,2019-Apr-07,,bmw,2 SERIES,Coupe,#C0C0C0,B,35447
191-D-3575,2019-Jan-02,,Mercedes,GLC-Class,SUV,Red,C,94152
201-L-4407,2020-Mar-07,,Opel,Insignia,Hatchback,White,B,33356
XXX-X-2434,2020-01-27,Dublin,Ford : Focus (Estate),,,white,a,44201
XXX-X-4620,2018-07-16,Galway,Toyota : Rav4 (SUV),,,red,b,38029
202-g-1298,19 Nov,GALWAY,Ford : Mondeo,,Saloon,RED,2,37666
201-G-2792,2020-Mar-24,Galway,mazda,cx-30 : suv,,<colour>White</colour>,B,32784
201-D-2389,2020-Feb-10,,Mercedes,A-Class,Hatchback,Red,B,59867
202-D-4852,2020-Oct-26,Dublin,mercedes,a-class : saloon,,<colour>Red</colour>,B,41502
191-l-1957,17 Mar,LIMERICK,Mercedes : A-Class,,Saloon,ORANGE,2,34424
181-L-3976,2018-May-10,,Ford,Fiesta,Hatchback,Blue,A,28109
201-D-1219,2020-Apr-12,,Audi,A4,Saloon,White,B,55003
181-G-3635,2018-Jan-22,,Opel,Insignia,Hatchback,White,B,35348
181-D-1079,2018-Jan-08,,toyota,COROLLA,Hatchback,#FF0000,B,27842
191-D-2730,2019-Mar-09,,Mazda,Mazda3,Hatchback,White,B,30444
201-D-4440,2020-Jan-17,,Mazda,Mazda3,Hatchback,White,B,28025
XXX-X-3305,2020-07-07,Galway,Ford : Focus (Estate),,,blue,a,39905
192-G-1812,2019-Aug-11,,Mazda,CX-30,SUV,White,B,40149
191-C-3164,2019-Apr-23,,Mazda,CX-5,SUV,Silver,B,40875
191-C-1842,2019-Jun-06,,Ford,Focus,Hatchback,Silver,A,36657
192-D-3628,2019-Jul-21,Dublin,mercedes,a-class : hatchback,,<colour>Blue</colour>,B,35500
182-G-4370,2018-Jul-16,,Ford,Fiesta,Hatchback,White,A,26609
192-C-210,2019-Jul-25,,Opel,Crossland X,SUV,Blue,A,24614
XXX-X-4346,2020-03-10,Dublin,Mercedes : C-Class (Saloon),,,silver,b,78704
182-D-2365,2018-Jul-04,,Audi,A6,Saloon,Silver,C,71817
201-L-3618,2020-Apr-06,,Toyota,Prius,Hatchback,Red,B,35356
181-W-1494,2018-Jan-09,,Ford,Focus,Hatchback,White,A,31436
181-C-3253,2018-Jan-02,,Mercedes,C-Class,Saloon,Blue,B,80152
181-w-3887,20 May,WATERFORD,Mazda : Mazda6,,Estate,WHITE,2,37610
192-d-4744,07 Jul,DUBLIN,Opel : Crossland X,,SUV,RED,1,25519
XXX-X-2539,2020-07-12,Dublin,Opel : Crossland X (SUV),,,white,a,26941
202-L-2438,2020-Jul-20,Limerick,mazda,cx-5 : suv,,<colour>Blue</colour>,B,49761
XXX-X-2398,2019-03-17,Cork,Mazda : Mazda6 (Saloon),,,white,b,38453
191-D-1470,2019-Mar-16,,Mercedes,GLC-Class,SUV,Silver,C,113764
XXX-X-2144,2019-07-06,Limerick,Toyota : Yaris (Hatchback),,,blue,a,18025
201-g-4549,22 Jan,GALWAY,Opel : Grandland X,,SUV,BLUE,2,40035
182-D-462,2018-Jul-14,,mercedes,C-CLASS,Estate,#FFFFFF,B,77656
191-W-3486,2019-Mar-21,,BMW,X3,SUV,White,C,99367
201-C-2363,2020-May-07,,Mercedes,A-Class,Saloon,Red,B,33877
191-c-656,22 Jan,CORK,Opel : Crossland X,,SUV,RED,1,24946
XXX-X-421,2019-02-25,Limerick,BMW : X3 (SUV),,,red,c,80167
XXX-X-2572,2018-07-05,Galway,Mazda : Mazda6 (Saloon),,,red,b,34817
XXX-X-1359,2020-10-07,Dublin,Ford : Kuga (SUV),,,orange,b,34282
191-L-189,2019-Jan-21,,BMW,3 Series,Hatchback,White,C,53867
192-D-1912,2019-Jul-26,Dublin,mazda,mazda6 : estate,,<colour>Blue</colour>,B,38345
201-c-4731,22 Feb,CORK,Ford : Focus,,Hatchback,RED,1,30017
XXX-X-694,2018-01-01,Waterford,Toyota : Corolla (Saloon),,,white,b,31896
XXX-X-634,2020-07-20,Dublin,Opel : Astra (Hatchback),,,blue,a,29170
XXX-X-4491,2020-03-01,Limerick,Ford : Kuga (SUV),,,blue,b,49071
191-C-2531,2019-Feb-19,,Opel,Astra,Hatchback,White,A,29254
XXX-X-21,2020-05-21,Dublin,Opel : Crossland X (SUV),,,white,a,23917
201-D-3145,2020-Jan-19,,Toyota,Yaris,Hatchback,Orange,A,16497
192-W-1655,2019-Jul-18,,toyota,YARIS,Hatchback,#FFFFFF,A,19807
181-D-4506,2018-Mar-15,,ford,MUSTANG,Coupe,#FFFFFF,C,58834
XXX-X-3177,2019-03-20,Waterford,BMW : 2 series (Coupe),,,red,b,118879
201-W-1215,2020-Feb-21,,Opel,Grandland X,SUV,Red,B,34650
191-D-4491,2019-Feb-12,Dublin,mazda,mazda6 : estate,,<colour>Silver</colour>,B,43211
201-d-2675,14 Jan,DUBLIN,Audi : A4,,Saloon,WHITE,2,52665
181-L-346,2018-Feb-01,Limerick,audi,a6 : saloon,,<colour>Blue</colour>,C,60540
191-D-2879,2019-Jan-17,,mazda,CX-30,SUV,#FFFFFF,B,35721
181-D-2032,2018-Jan-02,,Mazda,Mazda6,Estate,White,B,36116
201-D-3357,2020-Mar-21,,Toyota,Corolla,Saloon,Silver,B,31563
181-d-2378,11 May,DUBLIN,Toyota : Corolla,,Hatchback,RED,2,29364
XXX-X-2311,2020-01-20,Galway,Mercedes : C-Class (Estate),,,white,b,53001
201-d-2618,02 Feb,DUBLIN,Toyota : Rav4,,SUV,WHITE,2,41840
181-G-3300,2018-Feb-09,Galway,bmw,3 series : estate,,<colour>White</colour>,B,62098
XXX-X-1399,2020-07-03,Dublin,Ford : Mustang (Coupe),,,blue,c,49496
202-g-454,14 Jul,GALWAY,Ford : Focus,,Estate,WHITE,1,38414
181-d-3511,12 Feb,DUBLIN,Toyota : Camery,,Saloon,BLUE,2,41309
202-D-4246,2020-Jul-21,Dublin,toyota,yaris : hatchback,,<colour>Blue</colour>,A,16117
XXX-X-3513,2018-01-20,Galway,Mazda : CX-30 (SUV),,,white,b,43712
191-d-1279,11 Feb,DUBLIN,Ford : Focus,,Hatchback,SILVER,1,40409
XXX-X-4986,2019-07-15,Dublin,BMW : X3 (SUV),,,silver,c,65418
191-g-1908,03 Jan,GALWAY,Mazda : Mazda6,,Saloon,WHITE,2,41804
181-D-4678,2018-Mar-24,,BMW,3 Series,Saloon,White,B,51109
201-D-4064,2020-Jan-15,Dublin,mercedes,amg-gt : hatchback,,<colour>White</colour>,D,225048
201-C-2293,2020-May-26,Cork,ford,focus : hatchback,,<colour>Red</colour>,A,41008
XXX-X-4717,2020-03-17,Dublin,Mazda : Mazda3 (Hatchback),,,blue,b,35689
191-L-4747,2019-Jan-23,,Opel,Corsa,Hatchback,White,A,23593
201-G-1802,2020-Jan-21,,Ford,Mondeo,Hatchback,Orange,B,34597
192-L-4252,2019-Jul-27,Limerick,ford,focus : estate,,<colour>Blue</colour>,A,25802
191-D-4084,2019-Feb-21,,Toyota,Prius,Hatchback,White,B,35843
181-l-2639,15 Feb,LIMERICK,Toyota : Camery,,Saloon,WHITE,2,41047
201-D-1786,2020-Jan-26,,Toyota,Corolla,Saloon,Blue,B,29554
XXX-X-2441,2020-02-15,Cork,Opel : Corsa (Hatchback),,,orange,a,21110
201-w-2607,20 Jan,WATERFORD,Opel : Corsa,,Hatchback,RED,1,20219
201-d-3864,14 Jan,DUBLIN,Ford : Focus,,Estate,SILVER,1,28353
XXX-X-741,2019-09-24,Waterford,Ford : Kuga (SUV),,,white,b,47768
XXX-X-1720,2020-01-07,Dublin,Mercedes : A-Class (Hatchback),,,red,b,35148
181-G-4865,2018-Feb-23,Galway,mazda,mazda3 : hatchback,,<colour>Red</colour>,B,34153
192-d-2214,15 Jul,DUBLIN,BMW : 3 Series,,Saloon,SILVER,2,41917
